id,filename,slug,title,hook,mechanic,family,theme,theme_jp,theme_source,style_pack,bgm_direction,variation,spice,duration_current,duration_target,needed_current,needed_action,priority,wave,batch,fix_items,keep_items,status,score_before,score_after,style_actual,notes
14,014-neon-sweep.js,neon-sweep,ネオンスウィープ,光の帯がゾーンを通る瞬間を狙う爽快感,timing_window,A,custom,(既存世界観: 金庫のセキュリティ。走査ビームがゾーンに重なった),existing,90s 16bit,melody(固有) / 代替bgm_tense|cute,物量型(対象の数が増えていく),フィーバータイム(中盤数秒の得点倍増),18,10,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B03,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(18→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,金庫のセキュリティ。走査ビームがゾーンに重なった瞬間にロック解除。
15,015-magnet-escape.js,magnet-escape,磁石逃亡,引き寄せる力に逆らいながら脱出する緊張感,dodge,C,ghost,おばけ屋敷,assigned,NEO-RETRO,melody(固有) / 代替bgm_dark,加速型(テンポが徐々に上がる),サドンデス演出(達成目前の1ミスの緊張を煽る),5,18,,維持,P3,8,B73,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(5→18s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
16,016-mirror-swipe.js,mirror-swipe,鏡スワイプ,左右が逆転した世界で正しく動く認知の混乱,swipe_direction,D,custom,(既存世界観: 左右反転した鏡の異次元。鏡像に惑わされず逆方向へ),existing,80s NEON,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),フィーバータイム(中盤数秒の得点倍増),18,15,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B02,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(18→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,左右反転した鏡の異次元。鏡像に惑わされず逆方向へスワイプする。
17,017-countdown-stop.js,countdown-stop,カウントダウン止め,数字が0に近づく瞬間を狙う緊張の一発勝負,timing_one_shot,A,custom,(既存世界観: 時限爆弾の解除。数字が「01」になった瞬間にタッ),existing,80s NEON,melody(固有) / 代替bgm_tense|cute,加速型(ラウンド毎に加速),フィーバータイム(中盤数秒の得点倍増),30,10,1,見直し(密度低: 尺に対して要求が少ない),P1,0,W0,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(30→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,done,73,95,80s NEON,v3書換: variation 物量型→加速型(単一カウントダウンに物量型は不適)。NEEDED 1→4・尺30→10。既存snap未定義バグ修正
18,018-wire-trace.js,wire-trace,ワイヤートレース,震える手でケーブルをなぞる外科医の集中力,trace,D,custom,(既存世界観: 爆弾の配線をたどる解体作業。回路を正しくなぞって),existing,70s MONO,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),コンボ倍率(連続成功でx2→x4→x8),20,8,,維持,P3,7,B65,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→8s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,爆弾の配線をたどる解体作業。回路を正しくなぞって起爆を止める。
19,019-stack-tower.js,stack-tower,ブロック積み上げ,ズレるたびに細くなるブロックを積む職人の集中,stack,E,night_city,夜の街,existing,80s NEON,melody(固有) / 代替bgm_tense|cute,変拍子型(間隔・速度が不規則に揺れる),二重課題(終盤たまに2つ同時に来る),30,15,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B02,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(30→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,高層ビルの建設現場。クレーンで鉄骨を吊り、ずれなく積み上げる。
20,020-echo-tap.js,echo-tap,エコータップ,響いたリズムを完璧に返す音楽の快感,memory_sequence,F,custom,(既存世界観: リズムマシン/ドラムパッド機材。光ったパッドの順),existing,90s 16bit,melody(固有) / 代替bgm_tense|cute,物量型(対象の数が増えていく),コンボ倍率(連続成功でx2→x4→x8),25,17,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B04,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(25→17s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,リズムマシン/ドラムパッド機材。光ったパッドの順をなぞる。
21,021-coin-spin.js,coin-spin,コインスピン,倒れそうなコインが止まる瞬間を見極める賭け,timing_one_shot,A,circus,サーカス,assigned,2000s ARCADE POP,melody(固有) / 代替bgm_cute,精度型(判定幅/隙間が狭まっていく),二重課題(終盤たまに2つ同時に来る),15,13,1,見直し(密度低: 尺に対して要求が少ない),P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(15→13s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
22,022-drift-lane.js,drift-lane,ドリフトレーン,ドリフトしながらカーブを抜けるコントロールの快感,dodge,C,factory,工場ライン,assigned,80s NEON,melody(固有) / 代替bgm_tense,変拍子型(間隔・速度が不規則に揺れる),黄金ターゲット(稀に高得点のレアが出る),5,15,,維持,P3,8,B75,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(5→15s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
23,023-freeze-frame.js,freeze-frame,フリーズフレーム,激しく動く的を「今だ！」の瞬間に止める写真家の目,timing_one_shot,A,farm,牧場,assigned,2000s ARCADE POP,melody(固有) / 代替bgm_cute,フェイント型(偽の予兆・ダミーが混ざる),逆転ボーナス(残り3秒は得点2倍),18,15,1,見直し(密度低: 尺に対して要求が少ない),P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(18→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
24,024-voltage-surge.js,voltage-surge,ボルテージサージ,電力過負荷寸前の綱渡り、上げすぎたら終わり,count_exact,E,custom,(既存世界観: 原子炉制御室。プレイヤーは炉心出力を「安定ゾーン),existing,2000s ARCADE POP,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),黄金ターゲット(稀に高得点のレアが出る),20,22,,維持,P1,2,B03,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→22s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,原子炉制御室。プレイヤーは炉心出力を「安定ゾーン」に保つ運転員。
25,025-orbit-catch.js,orbit-catch,軌道キャッチ,重力圏を周回する隕石を正確なタイミングで捕獲する,timing_one_shot,A,sports,スタジアム,assigned,90s 16bit,melody(固有) / 代替bgm_tense|cute,物量型(対象の数が増えていく),サドンデス演出(達成目前の1ミスの緊張を煽る),20,10,1,見直し(密度低: 尺に対して要求が少ない),P1,2,B02,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
26,026-squeeze-time.js,squeeze-time,スクイーズタイム,ホールドで時間を遅くして絶妙なタイミングを作る,hold_charge,A,pirate,海賊船,assigned,90s 16bit,melody(固有) / 代替bgm_tense|cute,フェイント型(偽の予兆・ダミーが混ざる),サドンデス演出(達成目前の1ミスの緊張を煽る),20,15,1,見直し(密度低: 尺に対して要求が少ない),P2,3,B23,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,66,,,
27,027-tile-flip.js,tile-flip,タイルフリップ,裏返したタイルが全部同じ色になる瞬間の達成感,judge,F,witch,魔女の工房,existing,NEO-RETRO,melody(固有) / 代替bgm_dark,物量型(対象の数が増えていく),二重課題(終盤たまに2つ同時に来る),30,8,,維持,P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(30→8s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,古代の魔法パネル。ルーンを反転させて全石を同色に揃え封印を解く。
28,028-chain-burst.js,chain-burst,チェーンバースト,連鎖爆発の気持ちよさ、最大コンボを狙え,timing_one_shot,A,cat,ネコの家,assigned,90s 16bit,melody(固有) / 代替bgm_cute,精度型(判定幅/隙間が狭まっていく),二重課題(終盤たまに2つ同時に来る),,目視(8-15s),1,維持,P2,4,B31,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME,メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,69,,,
29,029-pixel-paint.js,pixel-paint,ピクセルペイント,お題のシルエットを素早くなぞり塗る爽快感,trace,D,custom,(既存世界観: ドット絵職人のキャンバス。お題のシルエットをなぞ),existing,NEO-RETRO,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),黄金ターゲット(稀に高得点のレアが出る),20,13,,維持,P1,2,B03,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→13s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,ドット絵職人のキャンバス。お題のシルエットをなぞって描き上げる。
30,030-ice-slide.js,ice-slide,氷上スライド,止まれない氷の上でゴールを目指す爽快なパズル,guide_path,C,night_city,夜の街,assigned,80s NEON,melody(固有) / 代替bgm_tense|cute,フェイント型(偽の予兆・ダミーが混ざる),黄金ターゲット(稀に高得点のレアが出る),20,15,,維持,P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→15s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,66,,,
31,031-typebeat.js,typebeat,タイプビート,流れてくる音符を方向スワイプで叩く音楽の快感,rhythm,A,ocean,深海,assigned,80s NEON,melody必須(拍=ゲームイベント同期),変拍子型(間隔・速度が不規則に揺れる),黄金ターゲット(稀に高得点のレアが出る),20,13,2,見直し(密度低: 尺に対して要求が少ない),P2,5,B36,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→13s) NEEDED(2),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,66,,,
32,032-quickdraw.js,quickdraw,クイックドロー,「今だ！」の瞬間に最速でタップする反射神経,reaction_duel,F,ocean,深海,assigned,90s 16bit,melody(固有) / 代替bgm_tense,物量型(対象の数が増えていく),フィーバータイム(中盤数秒の得点倍増),20,10,1,見直し(密度低: 尺に対して要求が少ない),P1,1,B10,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
33,033-number-sort.js,number-sort,ナンバーソート,散らばった数字を素早く昇順でタップする頭の体操,spot,F,custom,(既存世界観: 管制室のキーパッド。1→2→3 と順に押して認証),existing,NEO-RETRO,melody(固有) / 代替bgm_tense|cute,変拍子型(間隔・速度が不規則に揺れる),逆転ボーナス(残り3秒は得点2倍),30,10,,維持,P3,7,B64,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(30→10s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,管制室のキーパッド。1→2→3 と順に押して認証する。
34,034-safe-crack.js,safe-crack,金庫破り,コチコチ回る回転式ダイヤルを耳で感じる緊張感,rotate_gesture,D,custom,(既存世界観: 銀行の大型金庫の扉。ダイヤルを合わせて閂(かんぬ),existing,NEO-RETRO,melody(固有) / 代替bgm_tense|cute,物量型(対象の数が増えていく),フィーバータイム(中盤数秒の得点倍増),30,10,,維持,P1,1,B13,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(30→10s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,66,,,銀行の大型金庫の扉。ダイヤルを合わせて閂(かんぬき)を外し開錠する。
35,035-thermal-rise.js,thermal-rise,サーマルライズ,上昇気流に乗りながら高さを調整する気球操縦,camera_climb,C,robot,ロボット工房,assigned,70s MONO,melody(固有) / 代替bgm_tense|cute,変拍子型(間隔・速度が不規則に揺れる),二重課題(終盤たまに2つ同時に来る),20,15,,維持,P2,3,B28,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(20→15s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,66,,,
36,036-splat-zone.js,splat-zone,スプラットゾーン,落ちてくる的にタイミングよく飛びかかる爽快感,timing_one_shot,A,ghost,おばけ屋敷,assigned,80s NEON,melody(固有) / 代替bgm_dark,物量型(対象の数が増えていく),二重課題(終盤たまに2つ同時に来る),15,13,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B67,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(15→13s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
37,037-bridge-gaps.js,bridge-gaps,ブリッジギャップ,橋を伸ばして渡る、長さの感覚を磨く一発勝負,hold_charge,A,school,学校,assigned,90s 16bit,melody(固有) / 代替bgm_cute,変拍子型(間隔・速度が不規則に揺れる),二重課題(終盤たまに2つ同時に来る),30,8,1,見直し(密度低: 尺に対して要求が少ない),P2,6,B39,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(30→8s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,66,,,
38,038-laser-dodge.js,laser-dodge,レーザードッジ,チカッと光るレーザーを体で避ける緊張の一瞬,dodge,C,dungeon,ダンジョン,assigned,NEO-RETRO,melody(固有) / 代替bgm_dark,変拍子型(間隔・速度が不規則に揺れる),サドンデス演出(達成目前の1ミスの緊張を煽る),5,18,,維持,P1,2,B01,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(5→18s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
39,039-color-match.js,color-match,カラーマッチ,混色で目標カラーを作る色彩感覚ゲーム,gap_fit,E,custom,(既存世界観: 絵の具調合ラボ。RGBを混ぜて目標色を再現する。),existing,70s MONO,melody(固有) / 代替bgm_tense|cute,フェイント型(偽の予兆・ダミーが混ざる),サドンデス演出(達成目前の1ミスの緊張を煽る),25,25,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B03,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,絵の具調合ラボ。RGBを混ぜて目標色を再現する。
40,040-meteor-shield.js,meteor-shield,メテオシールド,迫りくる隕石を盾で弾いて惑星を守る防衛戦,swipe_direction,D,farm,牧場,assigned,90s 16bit,melody(固有) / 代替bgm_cute,物量型(対象の数が増えていく),コンボ倍率(連続成功でx2→x4→x8),5,13,,維持,P1,1,B05,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST THEME DUR(5→13s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名,todo,73,,,
41,041-spin-wheel.js,spin-wheel,スピンホイール,回転するルーレットを狙った色で止める賭けの緊張感,timing_one_shot,A,custom,(既存世界観: カジノのルーレット台。狙った色で止める賭け。),existing,90s 16bit,melody(固有) / 代替bgm_tense|cute,加速型(テンポが徐々に上がる),サドンデス演出(達成目前の1ミスの緊張を煽る),20,10,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B67,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,カジノのルーレット台。狙った色で止める賭け。
42,042-wave-ride.js,wave-ride,ウェーブライド,波に乗って障害物をくぐり抜ける波乗りの爽快感,dodge,C,ocean,深海,existing,90s 16bit,melody(固有) / 代替bgm_tense,物量型(対象の数が増えていく),二重課題(終盤たまに2つ同時に来る),5,22,,維持,P3,8,B77,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(5→22s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,大海原のサーフィン。波の山と谷を切り替えて岩を避ける。
43,043-pressure-test.js,pressure-test,プレッシャーテスト,連打を見せてから同じ回数ちょうど押す計数力,count_exact,E,school,学校,existing,90s 16bit,melody(固有) / 代替bgm_cute,変拍子型(間隔・速度が不規則に揺れる),二重課題(終盤たまに2つ同時に来る),25,15,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B08,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(25→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,計測ラボの反応テスト装置。光った回数だけ正確に押す。
44,044-spiral-run.js,spiral-run,スパイラルラン,らせん状に落下する玉を中心へ導く,guide_path,C,custom,(既存世界観: 渦巻く時空のトンネルを中心のコアへ降下していく。),existing,NEO-RETRO,melody(固有) / 代替bgm_tense|cute,フェイント型(偽の予兆・ダミーが混ざる),フィーバータイム(中盤数秒の得点倍増),20,25,,維持,P3,8,B76,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→25s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,渦巻く時空のトンネルを中心のコアへ降下していく。
45,045-drop-zone.js,drop-zone,ドロップゾーン,落下するアイテムを正しい容器に振り分ける仕分け師の判断力,judge,F,factory,工場ライン,existing,70s MONO,melody(固有) / 代替bgm_tense|cute,変拍子型(間隔・速度が不規則に揺れる),黄金ターゲット(稀に高得点のレアが出る),20,13,1,再調整(1→尺10秒あたり3〜8アクション),P1,2,B02,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(20→13s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,仕分け工場のコンベア。●は左箱(A)、■は右箱(B)へ振り分ける。
46,046-charge-shot.js,charge-shot,チャージショット,溜めて放つ一撃の快感、過充電に注意,hold_charge,A,custom,(既存世界観: 対空砲台。チャージを最適域で放ち、上空を横切る標),existing,80s NEON,melody(固有) / 代替bgm_tense|cute,加速型(テンポが徐々に上がる),逆転ボーナス(残り3秒は得点2倍),15,10,1,見直し(密度低: 尺に対して要求が少ない),P2,7,B55,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(15→10s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,68,,,対空砲台。チャージを最適域で放ち、上空を横切る標的を撃つ。
47,047-path-memory.js,path-memory,パスメモリー,光ったルートを記憶して同じ経路をスワイプで再現,memory_sequence,F,custom,(既存世界観: 神経回路のルート再現。光ったノードの順路を辿る。),existing,2000s ARCADE POP,melody(固有) / 代替bgm_tense|cute,加速型(テンポが徐々に上がる),逆転ボーナス(残り3秒は得点2倍),25,13,1,再調整(1→尺10秒あたり3〜8アクション),P1,1,B06,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(25→13s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,神経回路のルート再現。光ったノードの順路を辿る。
48,048-tower-defense.js,tower-defense,タワーディフェンス,迫りくる敵をタップで撃退するシンプルな防衛戦,aim_shoot,B,space,宇宙ステーション,existing,80s NEON,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),フィーバータイム(中盤数秒の得点倍増),5,20,,維持,P1,1,B05,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(5→20s),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,宇宙基地の防衛砲。上空から降るインベーダーを迎撃する。
49,049-pendulum-catch.js,pendulum-catch,ペンデュラムキャッチ,振り子の先に吊るされた宝石を正確なタイミングで受け取る,timing_one_shot,A,custom,(既存世界観: 宝物庫の吊り下げ振り子。宝石が真下に来た瞬間に受),existing,2000s ARCADE POP,melody(固有) / 代替bgm_tense|cute,精度型(判定幅/隙間が狭まっていく),逆転ボーナス(残り3秒は得点2倍),25,15,1,見直し(密度低: 尺に対して要求が少ない),P3,7,B68,TEXTLESS DEMO TAGS BGM SPRITE GRAD FEEDBACK BEST DUR(25→15s) NEEDED(1),メカニクス/勝敗条件/固有フック(hook列)/筐体骨格/slug/ファイル名/既存世界観,todo,73,,,宝物庫の吊り下げ振り子。宝石が真下に来た瞬間に受け皿を出す。
