# id	play	status
GH-3DS-0001	配られた14枚から、待ちが一番多くなる1枚を捨てる。正解で次、外すと終わり
GH-DS-0017	相手の要求に対して、譲るか突っぱねるかを選ぶ。譲りすぎると損、突っぱねすぎると決裂
GH-DS-0018	30問を早押しで答える。1問3秒
GH-DS-0019	密室の手がかりを順に繋いで犯人を1人指す。間違えると閉じ込められる
GH-DS-0020	数字のヒントどおりにマスを塗って絵を出す。塗り間違いは3回まで
GH-DS-0021	ピッチャーの投球に合わせてバットを振る。3振で終わり
GH-DS-0022	木を揺らして落ちてきた虫を、飛び去る前に網で捕まえる
GH-DS-0023	河に捨てられた牌から、相手の待ちを1つ当てる
GH-DS-0024	戦車の砲塔・履帯・装甲を組み替えて、迫る敵の一撃に耐えられる形にする
GH-DS-0025	ゾンビの群れが迫る。弾は限られていて、頭だけを撃つ	built
GH-DS-0026	クロスワードの空いた1マスを、縦と横の両方が成立する字で埋める
GH-DS-0027	虫歯だけを削る。健康な歯を削ると患者が跳び上がる
GH-DS-0028	原始人が獲物を追う。石を投げるか、隠れるか、逃げるかを瞬時に選ぶ
GH-DS-0029	燃え広がる火を、水の量に限りがある中で消す順番を決める
GH-DS-0030	板で玉を打ち返してブロックを崩す。玉は板の当たった位置で角度が変わる
GH-DS-0031	患部を切り開き、出血が止まる前に縫い合わせる
GH-DS-0032	爆弾の導線3本のうち、正しい1本を切る。手がかりはランプの点滅
GH-DS-0033	廃病院の廊下を、足音を立てずに進む。音を立てると何かが来る
GH-DS-0034	客の話に「はい」「わかる」「すごい」を場面に合わせて返す。外すと帰られる
GH-DS-0035	相手の捨て牌から、鳴ける牌が来た瞬間に鳴く
GH-DS-0036	部屋の絵の中に隠された文字を探して、鍵の暗証番号を作る
GH-DS-0037	ジャングルの写真の中で、動いたものを探して撮る
GH-DS-0038	容疑者3人の証言から矛盾を1つ見つけて指す	built
GH-DS-0039	証拠を1つずつ見て、有罪か無罪かを最後に一度だけ決める
GH-DS-0040	7並べ。出せる札を出す。出せないのに出すふりをすると負け
GH-DS-0041	4人で早押し。合図と違う音が混ざる
GH-DS-0042	数字の並びが崩れたパズルを、動かせる1マスだけ使って揃える
GH-DS-0043	現場の写真を触って、不自然な1点を見つける
GH-DS-0044	一瞬光った場所を順に押す。目の速さだけで勝負
GH-DS-0045	ルーレットが止まる前に賭ける。止まるまで賭け直しは1回だけ	built
GH-FC-0001	穴を跳び越えて右へ走る。跳ぶ長さは押した長さ
GH-GBA-0001	配牌から役が1つ見える。その役に要る牌だけを残して他を捨てる
GH-GBA-0002	ブロックを崩す。玉が2つに増えたら両方を落とさない
GH-GBA-0003	12種類のトランプ遊びからランダムで1つ。ルールは絵で示され、読む暇はない
GH-PS-0001	駅から駅へ乗り換える。一番早い経路を路線図で指す
GH-PS-0002	家具を置く。方角によって運気の色が変わる。全部を良い色にする
GH-PS-0003	名前の画数を数えて、吉か凶かを当てる	built
GH-PS-0004	材料を順に鍋に入れる。順番を間違えると焦げる
GH-PS-0005	症状を聞いて、正しい薬を棚から選ぶ
GH-PS-0006	注文されたカクテルの材料を、正しい順と量で注ぐ
GH-PS-0007	交差点で標識どおりに止まる・進む・曲がる。見落としたら不合格
GH-PS-0008	株価のグラフを見て、上がる前に買う・下がる前に売る
GH-PS-0009	気分に合う香りを3つ選んで調合する。合わないと頭痛
GH-PS-0010	3枚引いて、過去・今・これからを読む。逆さの札は意味が変わる
GH-PS-0011	体のツボを押す。正しい位置なら気持ちよさ、外すと痛がる
GH-PS-0012	症状の組み合わせから病名を選ぶ。3問正解で診断完了
GH-PS-0013	質問に直感で答える。答えの速さも診断に入る
GH-PS-0014	冠婚葬祭の場面で、正しい所作を3択で選ぶ
GH-PS-0015	犬種の写真を見て、名前を4択で当てる
GH-PS-0016	猫種の写真を見て、名前を4択で当てる
GH-PS-0017	夜空の星を繋いで星座を作る。繋ぐ順番が決まっている
GH-PS-0018	漢字の読みを、消える前に答える
GH-PS-0019	ボールを転がしてピンを倒す。投げる位置と曲がり方を決める
GH-PS-0020	数字のヒントでマスを塗って絵を出す
GH-PS-0021	板で玉を打ち返す。板が小さくなっていく
GH-PS-0022	神経衰弱。同じ絵を2枚めくる。めくるたびに時間が減る
GH-PS-0023	4人打ち麻雀。一番早くテンパイした人が勝ち
GH-PS-0024	手玉を弾いて的玉を落とす。キューの角度だけで決める
GH-PS-0025	宇宙船のドッキング。相対速度をゼロに合わせて接続する
GH-PS-0026	銭湯の湯温を保つ。熱すぎても冷たすぎても客が出ていく
GH-PS-0027	電車を駅にぴったり止める。ブレーキをかける位置だけで決まる	built
GH-PS-0028	時刻表どおりに走る。早着も遅れも減点
GH-PS-0029	忍び足で歩く。足音の音量ゲージが赤になると気づかれる
GH-PS-0030	フリッパーで玉を弾く。落ちる前に3つの的を全部倒す
GH-PS-0031	クイズ4択。答えを選んだ後に「本当に？」と聞かれ、変えるか変えないか
GH-PS-0032	レースの周回。相手の後ろについてスリップから抜く
GH-PS-0033	板の幅が縮んでいく中でブロックを崩す
GH-PS-0034	玉を打つ強さを決めて、釘の間を抜けさせて穴に入れる
GH-PS-0035	回る3つのリールを、狙った絵で順に止める
GH-PS-0036	バイクでコーナーに入る角度を決める。倒しすぎると転ぶ
GH-PS-0037	ボウリング。狙った本数だけ倒す（10本倒すと失敗）	built
GH-PS-0038	サイコロを振って進む。止まったマスの指示で戻る・休む・進む
GH-PS-0039	将棋の詰め。1手で王手にする駒を選ぶ
GH-PS-0040	落ちてくる形を隙間に詰める。一列揃うと消える
GH-PS-0041	投球のコースを読んで打つ。3球勝負
GH-PS-0042	代打で1打席。相手投手の癖が3球で分かる
GH-PS-0043	相手の技を受ける・返す・避けるを瞬時に選ぶ。3カウントで決着
GH-PS-0044	玉を打ってゲートを通す。通す順番が決まっている
GH-PS-0045	画面に出る的を撃つ。人質は撃たない
GH-PS-0046	馬の調子を見て1頭選ぶ。走り出したら見るだけ
GH-PS-0047	相手の打球を返す。返す位置で相手を走らせる
GH-PS-0048	雪面の凸凹を読んでジャンプの踏み切りを決める
GH-PS-0049	迷宮を1歩ずつ進む。壁の裏に宝か罠か
GH-PS-0050	魚の当たりが来た瞬間に竿を上げる。早いと逃げる、遅いと糸が切れる	built
GH-PS-0051	五目並べ。相手の3を止めるか、自分の4を作るかを1手で決める
GH-PS-0052	1対1のバスケ。抜くか止まるかの駆け引き
GH-PS-0053	物語の分岐で選ぶ。選択肢の一部は時間切れで消える
GH-PS-0054	相手のパンチを見てガードか反撃か。当たると体力が減る
GH-PS-0055	卓球のラリー。相手の打球の回転を見て返す角度を変える
GH-PS-0056	クイズ番組。早押しで先に答える権利を取る。間違えると次の人へ
GH-PS-0057	弾幕の隙間を抜けながら撃つ。自機の当たり判定は小さい
GH-PS-0058	夏休みのデート先を選ぶ。相手の好みは前の反応で分かる
GH-PS-0059	絵を分割したピースを、スライドで正しい位置に戻す
GH-PS-0060	実車のレース。ブレーキの踏み方でコーナーの速さが決まる
GH-PS-0061	麻雀。役が見えたらリーチする。リーチ後は捨て牌が選べない
GH-PS-0062	オセロ。挟んでひっくり返す。角を取れる手を探す
GH-PS-0063	将棋。3手詰め。1手目を選ぶ
GH-PS-0064	オセロ。相手に角を取らせない手を選ぶ
GH-PS-0065	囲碁。石を囲んで取る。取れる手を1つ見つける
GH-PS-0066	花札。場に合う札を出す。合う札が無ければ引く
GH-PS-0067	ポーカー。1枚だけ交換して役を作る
GH-PS-0068	ブロック崩し。ブロックに当たると玉が速くなる
GH-PS-0069	麻雀牌の落ち物。同じ牌を3つ揃えて消す
GH-PS-0070	スケートボード。踏み切りで回転数を決める。着地が合わないと転ぶ
GH-PS-0071	落ちてくる形を回して詰める。次の形は見えない
GH-PS-0072	カジノ。ブラックジャック。もう1枚引くか、止まるか
GH-PS-0073	囲碁。相手の石を取れる1手を探す
GH-PS-0074	ビリヤード。手玉を壁に当てて回り込ませる
GH-PS-0075	ジグソーパズル。1ピースだけ場所が違う。見つけて直す
GH-PS-0076	プロレス。技をかけるタイミングは相手が息を吐いた瞬間
GH-PS-0077	ヘリコプター。着陸パッドにゆっくり降りる。速すぎると壊れる
GH-PS-0078	バレーボール。トスが上がった一番高い所でスパイクを打つ
GH-PS-0079	ダーツ。的の中心を狙う。3投の合計
GH-PS-0080	スナイパー。息を止めて照準を合わせる。息が続く間に撃つ
GH-PS-0081	迷路。上から見て出口までの道を指でなぞる。壁に触れたら最初から
GH-PS-0082	相撲。押す・引く・はたくを読み合う。土俵を出た方が負け
GH-PS-0083	推理。18の事件から証拠を1つずつ集めて犯人を指す
GH-PS-0084	花札。こいこい。役ができたら続けるか止めるか	built
GH-PS-0085	テーブルホッケー。パックを弾き返す。相手のゴールに入れる
GH-PS-0086	クイズ。前の問題の答えが次のヒントになる
GH-PS-0087	スキー。旗門を左右に抜ける。抜け損ねると失格
GH-PS-0088	ガンシューティング。的が一瞬しか出ない。出た瞬間に撃つ
GH-PS-0089	キックボクシング。相手の蹴りをかわして返す。かわす方向を選ぶ
GH-PS-0090	ゴルフ。パワーゲージを2回押して距離と精度を決める
GH-PS-0091	回転する床の上でバランスを取る。落ちたら終わり	built
GH-PS-0092	サッカー。ゴール前でシュートを打つ。キーパーの逆を突く
GH-PS-0093	ラジコン。コースを走らせる。操作が視点と逆になる場面がある
GH-PS-0094	パターゴルフ。傾斜を読んで打つ強さと向きを決める
GH-PS-0095	トランプ。ババ抜き。相手の表情で引く札を選ぶ
GH-PS-0096	戦争シミュレーション。部隊を1つ動かして敵の補給を切る
GH-PS-0097	相手との会話で、触れてはいけない話題を避ける。地雷を踏むと終わり
GH-PS-0098	ビーチバレー。砂で足が遅い。落下点に先回りする
GH-PS-0099	上から来る列を撃つ。減るほど速くなる
GH-PS-0100	洋館のホラー。物音の方向を聞き分けて逃げる
GH-PS-0101	縦シューティング。ロックオンして一斉に撃つ。ロック数が多いほど高得点
GH-PS-0102	ドッジボール。投げる・受ける・避けるを瞬時に選ぶ
GH-PS-0103	水泳。息継ぎのタイミングを合わせる。合わないと失速
GH-PS-0104	ゼロヨン。ギアを上げる回転数を合わせる。早いと失速、遅いとオーバーレブ	built
GH-PS-0105	四川省。同じ牌を、曲がり角2回以内の線で繋いで消す	built
GH-PS-0106	ソリティア。出せる札を出す。出せなくなったら終わり
GH-PS-0107	陣取り。線で囲んだ面積を増やす。自分の線を踏まれると終わり
GH-PS-0108	帰宅した相手に、その日の出来事から正しい一言をかける
GH-PS-0109	潜水艦。深度を変えて魚雷を避ける。音を立てると見つかる
GH-PS-0110	ウェイクボード。波の頂点で跳んで技を出す
GH-PS-0111	イントロクイズ。曲が流れた瞬間に押す。早いほど高得点	built
GH-PS-0112	戦国武将。兵を3方向に分ける。相手の配置は最後に分かる
GH-PS-0113	鬼ごっこ。触られる前に逃げる。決まった場所なら安全	built
GH-PS-0114	競艇。スタートのタイミングを合わせる。フライングは失格
GH-PS-0115	麻雀。相手の点数が減るとレートが上がる。上がるか下りるか
GH-PS-0116	パワーショベル。砂を掬ってトラックに積む。こぼすと減点
GH-PS-0117	チェス。1手で詰める駒を選ぶ
GH-PS-0118	戦車。砲塔を回して撃つ。装填の間は動けない
GH-PS-0119	博打。相手の目を見て嘘を見抜く
GH-PS-0120	登山。足場を選んで登る。崩れる足場は音で分かる
GH-PS-0121	泡を撃って同じ色を3つ繋げて落とす。天井が下りてくる
GH-PS-0122	カメラマン。被写体が決めポーズをした瞬間にシャッターを押す
GH-PS-0123	飛行機。滑走路にまっすぐ降りる。速度と高度を合わせる
GH-PS-0124	野球。守備位置を決めてから投げる。打球が来る方向を読む
GH-PS-0125	スカッシュ。壁に当てて返す。相手の届かない角を狙う
GH-PS-0126	フットサル。狭いコートでパスを回す。奪われたら終わり
GH-PS-0127	剣道。相手が打ち込む瞬間に出る。早いと空振り、遅いと打たれる
GH-PS-0128	軍人将棋。相手の駒の正体は当たるまで分からない。攻めるか待つか
GH-PS-0129	パズル。同じ絵を3つ揃える。揃えると隣が動く
GH-PS-0130	バイクレース。ジャンプ台で姿勢を整える。着地が合わないと転ぶ
GH-PS-0131	花札。場札を読んで手札を出す順を決める
GH-PS-0132	テーブルホッケー。パックを弾く。相手の隙は一瞬
GH-PS-0133	麻雀。ツモった牌で待ちが変わる。一番広い待ちに切り替える
GH-PS-0134	とんち。3択のなぞなぞ。ひっかけが1つ混ざる
GH-PS-0135	横シューティング。合体すると強いが当たり判定が大きくなる
GH-PS-0136	釣り。魚影の大きさで竿の強さを選ぶ。強すぎると糸が切れる
GH-PS-0137	ドッジボール。外野と内野で協力して挟み撃ち
GH-PS-0138	ボードゲーム。証拠マスを回って犯人を推理。他の人より先に指す
GH-PS-0139	格闘。技の出だしを見て返す。読みが合えば大ダメージ
GH-PS-0140	格闘。相手の攻撃を弾いてから反撃。弾くタイミングは一瞬
GH-PS-0141	ジグソー。ピースの形だけで場所を当てる。絵は見えない
GH-PS-0142	ブロック崩し。特定のブロックを崩すと味方が出て手伝う
GH-PS-0143	パズルアクション。箱を押して道を作る。押し損ねると戻れない
GH-PS-0144	レース。コースが途中で壊れる。壊れる前に通り抜ける
GH-PS2-0001	将棋。5手詰め。最初の1手を選ぶ
GH-PS2-0002	囲碁。石を1つ置いて、相手の石を一番多く取る場所を探す
GH-PS2-0003	チェス。相手の駒を取れる手と、取られない手のどちらを選ぶか
GH-PS2-0004	麻雀。安全牌を捨てる。相手のリーチ後に当たり牌を捨てると終わり
GH-PS2-0005	囲碁の基礎。石の生き死にを当てる。3問連続で正解
GH-PS2-0006	ブラックジャック。ディーラーの見えている札から引くか止まるか
GH-PS2-0007	立体パズル。落ちてくる立方体を色ごとに揃える
GH-PS2-0008	すごろく。分かれ道で近道か安全な道か。近道には戻るマスがある
GH-PS2-0009	テニス。相手のサーブを読んでリターンの位置を決める
GH-PS2-0010	麻雀。相手の役を先に当てて、その役を封じる牌を止める
GH-PS2-0011	ジュース作り。注文どおりの果物を順に絞る。順番を間違えると味が変わる
GH-PS2-0012	ストリートゴルフ。障害物に当てて曲げる。壁の反射を読む
GH-PS2-0013	単車のレース。コーナーで倒す角度を決める。倒しすぎると転倒
GH-PS2-0014	麻雀。天和を狙う。配牌14枚で役が成立しているかを一瞬で見抜く
GH-PS2-0015	卓球。相手のスマッシュを返す。返す位置で相手が崩れる
GH-PS2-0016	戦国VS現代。兵を並べて突撃する方向を決める。相手の兵種で有利不利
GH-PS2-0017	爆弾を投げ合う。導火線が短い爆弾を相手側へ投げ返す	built
GH-PS2-0018	エアロビクス。手本の動きを1拍遅れで真似る。遅れると減点
GH-PS2-0019	麻雀。相手の点棒がゼロになる直前で、あえて振り込むか勝ち切るか
GH-PS2-0020	コース作り。ブロックを置いてレースの道を作り、自分で走って完走する
GH-PS2-0021	麻雀。手牌を1枚も捨てずに役を作る（配牌14枚のうち役が成立する組を選ぶ）
GH-PS2-0022	喧嘩。相手の殴りをかわして返す。かわす方向は相手の肩で分かる
GH-PS2-0023	麻雀。捨て牌の並びだけで相手の待ちを1つ当てる
GH-PS2-0024	戦闘ヘリ。銃座を回して撃つ。弾は限られ、味方には当てない
GH-PS2-0025	改造車のレース。改造パーツを1つ選んでから走る。選んだ部品で得意不得意が決まる
GH-PS2-0026	テニス。ロボット相手のラリー。相手の動きは決まった周期
GH-PS2-0027	放課後のダンス。拍に合わせて4方向を踏む。裏拍に罠	built
GH-PS2-0028	逃走レース。追手の車に体当たりされる前に振り切る
GH-PS2-0029	立ち技格闘。相手のパンチをガードしてから蹴りを返す
GH-PS2-0030	改造車のレース。ニトロを使う場所を決める。使い切ると失速
GH-PS2-0031	改造車の神様。相手を抜く直前に道が二股。狭い道は速いが当たると終わり
GH-PS2-0032	キックボクシング。相手の蹴りの高さを読んで受ける
GH-PS2-0033	恋の冒険。道中の出来事に対して相手が喜ぶ選択を選ぶ
GH-PS2-0034	イカサマ麻雀。相手の見ていない隙に牌をすり替える。見られたら終わり	built
GH-PS2-0035	麻雀。相手が捨てた牌で上がれるか、1秒で判断する
GH-PS2-0036	テニス。トップスピンとスライスを使い分ける。相手の位置で決める
GH-PS2-0037	白バイ。違反車を追って停止させる。前に回り込む
GH-PS2-0038	迷路の王。相手より先に出口へ。相手の道を塞げる
GH-PS2-0039	暴走レース。街中を逃げる。壊した物の数が点になる
GH-PS2-0040	テーブルゲーム。麻雀・将棋・囲碁からランダムで1問。1手で答える
GH-PS2-0041	チェス。相手の王に1手で王手をかける
GH-PS2-0042	機銃。迫る敵を撃つ。銃身が熱くなると撃てない
GH-PS2-0043	刀の姉。ゾンビを斬る。返り血で刀が滑るので拭くタイミングが要る
GH-PS2-0044	歩兵。遮蔽物の間を走る。敵の射線が切れる瞬間だけ動く
GH-PS2-0045	防衛軍。巨大生物の進路に兵を置く。置く場所で被害が変わる
GH-PS2-0046	ロボット。パーツを3つ選んで組む。組んだ形で相手に勝てるか
GH-PS2-0047	メイド服と機関銃。近づく敵を撃つ。弾切れの間は逃げる
GH-PS2-0048	ブロック崩し。ブロックが敵。特定の並びで崩すと連鎖
GH-PS2-0049	番長の喧嘩。相手の殴りに合わせてカウンター
GH-PS2-0050	特殊部隊。突入の順番を決める。先に撃たれたら終わり
GH-PS2-0051	タクシー。客を早く運ぶ。近道は事故のリスク
GH-PS2-0052	バギー。凸凹の道を跳ねる。着地の向きを合わせる
GH-PS2-0053	脱獄。監視の目を盗んで動く。見つかったら最初から
GH-PS2-0054	バイクを奪う。走っている相手に飛び乗る瞬間を合わせる
GH-PS2-0055	逃走ハイウェイ。追跡車を壁に押し付けて振り切る
GH-PS2-0056	大漁地獄。網を落とす場所とタイミングを決める。魚群が通る瞬間だけ
GH-PS2-0057	岡っ引き。逃げる下手人に十手を投げる。届く距離で投げる
GH-PS2-0058	ルームシェア。同居人の帰宅前に散らかりを片付ける。順番がある
GH-PS2-0059	猫の村。悪代官の手下から村人を隠す。隠す場所は毎回違う
GH-PS2-0060	零戦。敵機の後ろにつく。相手は旋回して逃げる
GH-PS2-0061	落武者。追手から逃げる。隠れる場所を選ぶ
GH-PS2-0062	サバイバル。食料と水を分けて使う。使い切ると終わり
GH-PS2-0063	クイズ20問。間違えると次の問題が難しくなる
GH-PS2-0064	最後の日本兵。ジャングルに潜んで敵を1人ずつ倒す。見つかったら終わり
GH-PS2-0065	街作り。建物を置く。隣同士の相性で街が育つか荒れるか
GH-PS2-0066	人魚姫。泡が消える前に願いを叶える3つの選択
GH-PS2-0067	オフィスの事件。社員の証言から嘘を1つ見抜く
GH-PS2-0068	ガラスの森。壊れやすい心を持つ相手に、傷つけない言葉を選ぶ
GH-PS2-0069	ビリヤード。ナインボール。順番どおりに落とす
GH-PS2-0070	ラグビー。タックルをかわしてトライ。かわす方向を選ぶ
GH-PS2-0071	スナイパー。風を読んで照準をずらす。風は旗で分かる
GH-PS2-0072	推理。20の事件。手がかりを3つ集めてから犯人を指す
GH-PS2-0073	パーティすごろく。止まったマスでミニゲーム。勝てば進む
GH-PS2-0074	メイドカフェ。注文を覚えて運ぶ。順番を間違えると怒られる
GH-PS2-0075	パーティゲーム。4人で早押し。合図のタイミングが毎回違う
GH-PS2-0076	ダンジョン。忍者で潜る。見つからずに宝を取る
GH-PS2-0077	美少女シミュレーションRPG。仲間を選んで戦う。相性で結果が変わる
GH-PS2-0078	通勤電車。時刻表どおりに走る。乗客の乗り降り時間が変わる
GH-PS2-0079	パズルコレクション。ジャンルの違うパズルが交互に来る
GH-PS2-0080	ボウリング。ピンの配置が毎回違う。スプリットを取る
GH-PS2-0081	免許取得。標識の意味を4択で答える
GH-PS2-0082	ピンボール3台。玉が3つ。全部を落とさない
GH-PS2-0083	プロ野球。ペナントレース1試合。守備位置を変える
GH-PS2-0084	武士道。辻斬り。通行人が振り向く前に斬る
GH-PS2-0085	恋愛ボードゲーム。ラジオ番組の話題に合わせて手札を出す
GH-PS2-0086	バス釣り。ルアーを投げる位置を決める。魚影は一瞬見える
GH-PS2-0087	3on3バスケ。パスかシュートか。相手のマークで決める
GH-PS2-0088	防衛軍。巨大な敵を撃つ。倒れる方向に逃げる
GH-PS2-0089	戦車。砲弾の落下を読んで避ける。避けた後に撃ち返す
GH-PS2-0090	ジェットコースター。レールを繋いで作る。落ちないコースにする
GH-PS2-0091	漂流少女。船の上で生き残る。水と食料の残りを見て決める
GH-PS2-0092	ヘリコプター。要救助者を吊り上げる。揺れが止まる瞬間に引く
GH-PS2-0093	娘育成。父として選ぶ。娘の反応で次の選択が変わる
GH-PS2-0094	縦シューティング2人。2機で挟む。相手の弾は1機だけ避ければいい
GH-PS2-0095	友情アドベンチャー。友を助けるか自分を守るかの選択
GH-PS2-0096	街作り。道を繋ぐ。行き止まりがあると人が来ない
GH-PS2-0097	麻雀パズル。同じ牌を2つ繋ぐ。線は曲がれる回数に上限
GH-PS2-0098	風水。家具の配置。方角の色で運が決まる
GH-PS2-0099	バレーボール。レシーブ・トス・アタックの3タッチを順に押す
GH-PS2-0100	異種格闘技。相手の流派で有効な技が変わる。流派は構えで分かる
GH-PS2-0101	裁判。証拠を提示するタイミングを選ぶ。証言の矛盾が出た瞬間
GH-PS2-0102	はじめてのRPG。戦うか逃げるか。敵の強さは見た目で分かる
GH-PS2-0103	恋と涙。別れの言葉を3つの中から選ぶ
GH-PS2-0104	漢字クイズ。書き取り。一画ずつなぞる
GH-PS2-0105	合戦。兵を3隊に分けて配置。相手の配置は開戦後に分かる
GH-PS2-0106	タクシー。客の行き先を聞いて最短経路を選ぶ
GH-PS2-0107	ドッジボール世界大会。投げる強さで相手が取れるかどうか
GH-PS2-0108	ブロック崩しハイパー。玉の速度が上がり続ける
GH-PS2-0109	大美人。巨大な女性に踏まれないよう街を逃げる
GH-PS2-0110	戦艦。主砲の射角を合わせる。相手の艦は動く
GH-PS2-0111	侵略軍。侵略者側で街を壊す。壊す順で抵抗が変わる
GH-PS2-0112	カメラ小僧。被写体の一番いい瞬間を撮る。3枚だけ
GH-PS2-0113	大怪獣。街を壊す。ビルを倒す方向を決める
GH-PS2-0114	キャットファイト。相手の髪を引っ張るタイミング
GH-PS2-0115	サバイバルゲーム。撃たれる前に撃つ。隠れる場所を選ぶ
GH-PS2-0116	プロ野球2004。1打席勝負。ボール球を見送る
GH-PS2-0117	外科医。出血点を押さえる。押さえる場所を探す
GH-PS2-0118	宇宙人と話す。宇宙人の言葉を身振りで返す。意味は反応で分かる
GH-PS2-0119	スノーボード。ハーフパイプで技を出す。着地に合わせる
GH-PS2-0120	変身ヒーロー。変身の合図に合わせてポーズ。遅れると変身できない
GH-PS2-0121	刀の姉。ゾンビを斬る。刀の血を拭う間は無防備
GH-PS2-0122	泡を撃って3つ繋げる。天井が下りる速度が上がる
GH-PS2-0123	水泳大会。スタートの合図に合わせて飛び込む。フライングは失格
GH-PS2-0124	スプラッターアクション。近づく敵を斬る。血しぶきで視界が狭くなる
GH-PS2-0125	キョンシー。息を止めてやり過ごす。息が続く間だけ
GH-PS2-0126	右脳クイズ。図形を一瞬見て違いを答える
GH-PS2-0127	推理。10人が1人ずつ消える。次に消える人を当てる
GH-PS2-0128	逃走ハイウェイ。名古屋から東京へ。追跡車をかわす
GH-PS2-0129	ボードゲーム集。すごろく・オセロ・五目からランダム
GH-PS2-0130	ボクシング。相手のガードが下がる瞬間を撃つ	built
GH-PS2-0131	鑑識官。現場の証拠を順に触る。触る順が決まっている
GH-PS2-0132	ファンタジー恋愛。彼女の伝説。3つの言葉から相手が待つ1つを選ぶ
GH-PS2-0133	任侠。相手の出方を読んで、引くか出るか
GH-PS2-0134	旅の一行。仲間の力を借りる順を決める
GH-PS2-0135	王子様とロマンス。卵を守りながら会話を選ぶ
GH-PS2-0136	特ダネ。現場に一番早く着く。渋滞を避ける道を選ぶ
GH-PS2-0137	英語の旅。相手の言葉に合う返事を4択で選ぶ
GH-PS2-0138	ハングルの旅。相手の言葉に合う返事を4択で選ぶ
GH-PS2-0139	宇宙大戦争。艦隊を配置。敵の進路に合わせる
GH-PS2-0140	パーティクイズ。全員で同時に答える。かぶると無効
GH-PS2-0141	テニス。相手のボレーをパスで抜く。抜く方向を選ぶ
GH-PS2-0142	刀の姉。敵を斬りながら走る。止まると囲まれる
GH-PS2-0143	防衛軍2。巨大生物の群れに兵器を選んで撃つ
GH-PS2-0144	カンフー。相手の構えを見て、有効な技を選ぶ
GH-PS2-0145	昆虫採集。網を振るタイミング。虫が止まった瞬間
GH-PS2-0146	喫茶店。注文を覚えて運ぶ。同時に3人まで
GH-PS2-0147	名作物語クイズ。物語の続きを4択で選ぶ
GH-PS2-0148	免許取得。交通法規を4択で。改正された規則が混ざる
GH-PS2-0149	女子サッカー。パスの相手を選ぶ
GH-PS2-0150	婦警。違反者を追って捕まえる。追いつく道を選ぶ
GH-PS2-0151	パーティゲーム2。4人で協力して1つの玉を運ぶ
GH-PS2-0152	恋愛アドベンチャー。苦い記憶と甘い記憶。どちらを選ぶか
GH-PS2-0153	刀の姉2。2人で背中合わせ。片方が斬り、片方が守る
GH-PS2-0154	オールスター格闘祭。相手の流派で有効な技が変わる
GH-PS2-0155	呪いのゲーム。呪いを他人に移す。移す相手を選ぶ
GH-PS2-0156	右脳ドリル。一瞬見た絵を再現。線を1本ずつ引く
GH-PS2-0157	赤ちゃん。泣く前にあやす。泣く理由は表情で分かる
GH-PS2-0158	ゾンビ対救急車。ゾンビを轢きながら病院へ。轢きすぎると車が壊れる
GH-PS2-0159	海賊。宝の地図の×を探す。掘る場所は1回
GH-PS2-0160	恋のエンジン。車のダーリンを直す。壊れた部品を探す
GH-PS2-0161	茶房。客の好みの茶を淹れる。温度と時間を合わせる
GH-PS2-0162	原始人。獲物を追い込む。逃げ道を先に塞ぐ
